category,base_class,text
conversation,conversation,"hi, how are you doing?"
conversation,conversation,hello! i am wonderful and yourself?
conversation,conversation,i am doing well. what are you up to?
conversation,conversation,just got in from my garden. i was seeing if my carrots are ready to harvest.
conversation,conversation,i am having dinner at my apartment with my 3 sisters
conversation,conversation,that sounds like wonderful family time. most my family is not around.
conversation,conversation,oh do you have any close friends?
conversation,conversation,i am 71 and live in the countryside most my friends can not travel as well.
conversation,conversation,oh i see. do you enjoy country life?
conversation,conversation,"i do very much so, nice and quiet. are you in a city?"
conversation,conversation,"yes, new york. i want to be a nurse here"
conversation,conversation,that is a busy life there. how do you keep up with it all?
conversation,conversation,"it is not so busy, it is very fulfilling"
conversation,conversation,i have never really had the need to travel there. heard many stories tho.
conversation,conversation,"do you like the beatles, they are my favorite"
conversation,conversation,"i sure do, really enjoyed them back in my glory days."
conversation,conversation,"hello, i love jesus very much."
conversation,conversation,sweet. i think he watches over me as i have been driving the back roads forever.
conversation,conversation,have you seen any scary movies lately? i love getting scared!
conversation,conversation,"i do not like scary movies although, i was scared while attending college."
conversation,conversation,"oh wow, college, books are my thing!"
conversation,conversation,"yeah, i was going to be a nurse and then i saw blood and changed my mind."
conversation,conversation,i am also learning about medicine. i love helping animals.
conversation,conversation,"i love animals. ironically, i became a professional shopper. it is a great job."
conversation,conversation,i am going to go pray to jesus now. this world is getting crazy.
conversation,conversation,it sure is a crazy world. i hope he answers your prayers. i will be driving.
conversation,conversation,whats your favorite book? mine is by shakespeare!
conversation,conversation,i lover anything stephen king. no scary movies but i love the books.
conversation,conversation,"gosh, i love animals so much, i am going to give them all big hugs!"
conversation,conversation,you must be a professional animal cuddler.
conversation,conversation,hows it going. i am here petting my doggy
conversation,conversation,"good, sorry if i am slow i only have one arm."
conversation,conversation,like seriously or is this part of the scenario?
conversation,conversation,i was in a car accident and it got chopped off but i can still farm.
conversation,conversation,that is crazy. youre a strong willed man. lets take a walk in the woods
conversation,conversation,how did you know that i like to hike?
conversation,conversation,i did not. i was gonna pull an old yeller on you
conversation,conversation,lol do you have a dog?
conversation,conversation,i have many animals. i am an animal enthusiast. i do not watch tv though
conversation,conversation,i have one his name is alfie my 3 older siblings bought him for me.
conversation,conversation,lucky you. the closest thing i have to family are ted talks
conversation,conversation,do you mean you go to ted talks?
conversation,conversation,no i just listen to them haha. as background noise mostly
conversation,conversation,i like them also i have a friend who was on one.
conversation,conversation,"hello! tell me about yourself, i need something to write about"
conversation,conversation,"hey there! well, i just started classes in college and work part time at the campus library"
conversation,conversation,that sounds fun. what classes are you taking?
conversation,conversation,i am taking 2 science classes. i am wondering if i should just move on campus
conversation,conversation,that would not be horrible. i used to work in a book store on campus
conversation,conversation,"yes, well right now i have catch the bus. maybe i will do dorms next year"
conversation,conversation,i liked my dorm in college. that is where i started my tea addiction.
conversation,conversation,we have been studying tea in one of my 3 science classes!
conversation,conversation,haha that is hilarious! learn anything i should know about?
conversation,conversation,"yeah, its not looking good for you my friend"
conversation,conversation,oh no. what is so bad about it?
conversation,conversation,"it stains your teeth, and is generally unhealthy for you"
conversation,conversation,well i can deal with stained teeth. how is it unhealthy?
conversation,conversation,"we are still studying it further, but it turns out as you said, it is addicting"
conversation,conversation,yeah. that is very true. it also probably does not help that they have it in art museums
conversation,conversation,so what else do you enjoy?
conversation,conversation,hello how are you today
conversation,conversation,"hello i am doing well, how are you?"
conversation,conversation,that is good! i am doing great thanks.
conversation,conversation,what are you up to today
conversation,conversation,gonna read enders game for the fifth time i love this book
conversation,conversation,"wow, five times! i have not read that. i am in med school"
conversation,conversation,med school wow congrats. do you like sci fi
conversation,conversation,"thank you, both my parents are doctors. yes i do"
conversation,conversation,you should check out this book you might like it too
conversation,conversation,"ok i will when i have time, i am studying a lot plus in the theatre"
conversation,conversation,i understand school can be very time consuming. i joined the air force after graduation
conversation,conversation,"oh wow, good for you! that is admirable"
conversation,conversation,yeah i got discharged after i got back from the war
conversation,conversation,"which one, the war going on right now?"
conversation,conversation,hello! tell me a little about yourself
conversation,conversation,"hey there, well i am not very tall. you?"
conversation,conversation,"haha, well height is not the only thing. i am a vegan! i care about the earth"
conversation,conversation,my cheeks on my face are huge which makes my eyes pop.
conversation,conversation,oh wow! you sound like my cat jasper! he is the best.
conversation,conversation,i would like jasper. vegan is what i am currently reading about.
conversation,conversation,"well as a vegan barista, i can tell you there are health and planetary benefits!"
